"","carcinoma","cheating","election","gss82","values","algorithm"
"results.em",-289.788877124194,-440.027112413124,-16714.6591426712,-2746.75070862445,-503.302918370379,"EM"
"results.de",-293.592805541412,-448.201187414437,-20282.3528258682,-2755.64292357186,-504.100092287261,"DE"
"results.woa",-303.083091688243,-448.197294532855,-16768.0112049351,-2754.93456352646,-504.20092145342,"WOA"
"results.gwo",-294.92710571976,-448.240094252339,-16839.9901304669,-2761.03436677759,-504.056552151085,"GWO"
"results.hs.em",-289.78887712423,-440.027112413401,-16714.659142671,-2747.01131410247,-503.30292674539,"HS"
"results.de.em",-289.639704932695,-440.151607026135,-16750.8578100796,-2749.70760373209,-503.302671497072,"DE+EM"
"results.hs.em.1",-289.78887712423,-440.027112413401,-16714.659142671,-2747.01131410247,-503.30292674539,"HS+EM"
"results.woa.em",-293.062293726605,-440.323774696902,-16737.1336742736,-2747.19745234891,-503.314538025139,"WOA+EM"
"results.gwo.em",-289.788877124183,-440.02711241349,-16751.3063788717,-2747.11940755723,-503.302464259463,"GWO+EM"
